Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
TP3,TestPoint,single-pad,-61.900000,-23.900000,0.000000,bottom
TP4,TestPoint,single-pad,-64.400000,-23.900000,0.000000,bottom
TP5,TestPoint,single-pad,-53.000000,-106.180000,0.000000,bottom
TP6,TestPoint,single-pad,-22.900000,-78.900000,0.000000,bottom
TP6,TestPoint,single-pad,-22.900000,-76.400000,0.000000,bottom
TP6,TestPoint,single-pad,-53.000000,-103.600000,0.000000,bottom
TP7,TestPoint,single-pad,-53.000000,-108.750000,0.000000,bottom
TP8,TestPoint,single-pad,-22.900000,-81.400000,0.000000,bottom
TP9,TestPoint,single-pad,-22.900000,-83.900000,0.000000,bottom
TP10,TestPoint,single-pad,-22.900000,-86.400000,0.000000,bottom
U1,ATmega16U4-AU_(modified),TQFP-44_10x10mm_Pitch0.8mm,-38.200000,-104.400000,225.000000,bottom
USB1,HRO-TYPE-C,HRO-TYPE-C-31-M-12,-47.600000,-19.000000,0.000000,bottom
X1,16MHz,Crystal_SMD_5032-2pin_5.0x3.2mm,-26.050000,-111.625000,180.000000,bottom
G***,LOGO,silkscreen-art,172.900000,-68.300000,0.000000,top
K1,KEYSW,Kailh_socket_MX_with_switch_1.50U,34.650000,-29.900000,0.000000,top
K2,KEYSW,Kailh_socket_MX_with_switch_1.00U,58.400000,-29.900000,0.000000,top
K3,KEYSW,Kailh_socket_MX_with_switch_1.00U,77.400000,-29.900000,0.000000,top
K4,KEYSW,Kailh_socket_MX_with_switch_1.00U,96.400000,-29.900000,0.000000,top
K5,KEYSW,Kailh_socket_MX_with_switch_1.00U,115.400000,-29.900000,0.000000,top
K6,KEYSW,Kailh_socket_MX_with_switch_1.00U,134.400000,-29.900000,0.000000,top
K7,KEYSW,Kailh_socket_MX_with_switch_1.00U,153.400000,-29.900000,0.000000,top
K8,KEYSW,Kailh_socket_MX_with_switch_1.00U,172.400000,-29.900000,0.000000,top
K9,KEYSW,Kailh_socket_MX_with_switch_1.00U,191.400000,-29.900000,0.000000,top
K10,KEYSW,Kailh_socket_MX_with_switch_1.00U,210.400000,-29.900000,0.000000,top
K11,KEYSW,Kailh_socket_MX_with_switch_1.00U,229.400000,-29.900000,0.000000,top
K12,KEYSW,Kailh_socket_MX_with_switch_1.00U,248.400000,-29.900000,0.000000,top
K13,KEYSW,Kailh_socket_MX_with_switch_1.00U,267.400000,-29.900000,0.000000,top
K14,KEYSW,Kailh_socket_MX_with_switch_1.00U,286.400000,-29.900000,0.000000,top
K15,KEYSW,Kailh_socket_MX_with_switch_1.75U,37.025000,-48.900000,0.000000,top
K16,KEYSW,Kailh_socket_MX_with_switch_1.00U,63.150000,-48.900000,0.000000,top
K17,KEYSW,Kailh_socket_MX_with_switch_1.00U,82.150000,-48.900000,0.000000,top
K18,KEYSW,Kailh_socket_MX_with_switch_1.00U,101.150000,-48.900000,0.000000,top
K19,KEYSW,Kailh_socket_MX_with_switch_1.00U,120.150000,-48.900000,0.000000,top
K20,KEYSW,Kailh_socket_MX_with_switch_1.00U,139.150000,-48.900000,0.000000,top
K21,KEYSW,Kailh_socket_MX_with_switch_1.00U,158.150000,-48.900000,0.000000,top
K22,KEYSW,Kailh_socket_MX_with_switch_1.00U,177.150000,-48.900000,0.000000,top
K23,KEYSW,Kailh_socket_MX_with_switch_1.00U,196.150000,-48.900000,0.000000,top
K24,KEYSW,Kailh_socket_MX_with_switch_1.00U,215.150000,-48.900000,0.000000,top
